%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
291,1051.86,52587.24,1361.11,53572.92,9603.08,63.08,2.94,3.08,3.08
292,?,?,?,?,?,?,?,3.08,?
293,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,1389.98,54903.39,31423.05,113.05,9.57,?,3.05
295,1078.51,53781.81,1383.79,54818.06,19933.05,63.05,6.07,3.05,3.05
296,1074.66,53389.74,1387.21,54433.41,64133.08,113.08,19.68,3.05,3.08
297,1083.34,53994.46,1392.05,55063.75,274873.15,373.15,85.10,3.08,3.15
298,1095.80,53887.13,1408.73,55023.42,87753.12,183.12,27.55,3.15,3.12
299,?,?,?,?,?,?,?,3.12,?
300,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,1424.20,55362.19,359653.26,533.26,115.12,?,3.26
302,1114.63,54536.95,1415.96,55688.45,215063.43,483.43,73.19,3.26,3.43
303,1107.62,54095.32,1435.46,55240.01,199373.28,323.28,66.61,3.43,3.28
304,1109.36,53607.86,1416.41,54734.18,32163.27,83.27,10.40,3.28,3.27
305,?,?,?,?,?,?,?,3.27,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,1446.55,55121.60,7866,24,26.79,?,3.36
309,1101.37,53504.47,1441.92,54600.05,1309,6,4.40,3.36,3.37
310,1106.35,53924.01,1445.73,55035.36,4723,11,16.08,3.37,3.41
340,991.5027484429278,45857.110734846676,1298.5945247741247,47106.0108522239,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,1325.4888178463666,47398.32393415799,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,1352.3831109186085,47690.63701609208,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,1433.0659901353345,48567.57626189435,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,1594.4317485687864,50321.45475349891,?,?,?,?,?,? 
