%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
298,1095.80,53887.13,1408.73,55023.42,207.89,17.89,0.16,7.61,7.89
299,?,?,?,?,?,?,?,7.89,?
300,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,1424.20,55362.19,11417.95,117.95,8.97,?,7.95
302,1114.63,54536.95,1415.96,55688.45,33478.00,108.00,26.75,7.95,8.00
303,1107.62,54095.32,1435.46,55240.01,26957.95,107.95,21.45,8.00,7.95
304,1109.36,53607.86,1416.41,54734.18,1317.99,27.99,1.05,7.95,7.99
305,?,?,?,?,?,?,?,7.99,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,1446.55,55121.60,3094,15,25.31,?,8.49
309,1101.37,53504.47,1441.92,54600.05,203134,27,1687.25,8.49,8.30
310,1106.35,53924.01,1445.73,55035.36,2535,5,20.82,8.30,8.45
340,991.5027484429278,45857.110734846676,1298.5945247741247,47106.0108522239,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,1325.4888178463666,47398.32393415799,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,1352.3831109186085,47690.63701609208,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,1433.0659901353345,48567.57626189435,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,1594.4317485687864,50321.45475349891,?,?,?,?,?,? 
