%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
200,2427.55,2881.70,46399.74,2416.51,3587.20,6906.83,47120.88,18097.50,1597.50,17.47,97.50,97.50
201,?,?,?,?,?,?,?,?,?,?,97.50,?
202,?,?,?,?,?,?,?,?,?,?,?,?
203,2420.11,2871.14,46361.70,2396.23,3576.21,6918.23,47075.43,599697.00,6497.00,585.71,?,97.00
204,2440.78,2908.96,46714.43,2410.94,3606.75,6950.90,47454.90,10243397.90,4397.90,9977.61,97.00,97.90
205,2441.59,2923.77,46835.98,2432.91,3617.32,6919.33,47575.74,3224497.40,15897.40,3142.56,97.90,97.40
206,2430.68,2914.72,46713.02,2419.35,3601.16,6951.65,47446.69,20140497.56,3797.56,19652.99,97.40,97.56
207,2400.81,2886.24,46258.91,2381.24,3556.91,6928.85,46981.22,15073198.01,4798.01,14795.57,97.56,98.01
208,?,?,?,?,?,?,?,?,?,?,98.01,?
209,?,?,?,?,?,?,?,?,?,?,?,?
210,2411.93,2914.05,46480.62,2399.20,3575.31,6931.34,47214.30,956197.73,5697.73,940.67,?,97.73
211,2421.34,2928.38,46663.41,2395.38,3589.26,7018.79,47398.08,59998.50,2098.50,58.72,97.73,98.50
212,2434.27,2924.02,46925.65,2406.95,3608.43,7133.06,47676.43,4931799.05,6999.05,4882.40,98.50,99.05
213,2458.52,2945.73,47370.81,2423.45,3644.36,7252.17,48147.76,9262997.61,15397.61,9292.38,99.05,97.61
214,2514.09,3020.01,48325.33,2497.76,3726.75,7371.22,49133.14,86429101.90,121101.90,8794.12,97.61,101.90
215,?,?,?,?,?,?,?,?,?,?,101.90,?
216,?,?,?,?,?,?,?,?,?,?,?,?
217,2522.03,3032.65,48458.44,2503.49,3738.51,7400.00,49272.86,28379102.00,75102.00,2898.50,?,102.00
218,2491.58,3037.01,47942.81,2488.24,3693.37,7220.25,48742.34,5491102.30,52102.30,563.09,102.00,102.30
219,2511.06,3084.81,48306.55,2509.90,3722.25,7328.58,49124.78,813858108.00,253108.00,87013.75,102.30,108.00
220,2541.46,3128.68,48862.88,2531.42,3767.32,7439.07,49700.18,90250110.25,234110.25,9947.08,108.00,110.25
221,2549.05,3163.87,49125.36,2525.23,3778.56,7504.16,49994.77,11248111.90,99111.90,1243.65,110.25,111.90
222,?,?,?,?,?,?,?,?,?,?,111.90,?
223,?,?,?,?,?,?,?,?,?,?,?,?
224,2574.11,3182.23,49580.16,2552.44,3815.71,7582.28,50476.37,9980111.00,82111.00,1100.65,?,111.00
225,2582.83,3202.74,49747.66,2567.59,3828.64,7619.99,50646.05,7219113.20,91113.20,809.89,111.00,113.20
226,2609.42,3253.52,50223.95,2588.79,3868.05,7754.29,51152.95,10488115.50,127115.50,1209.93,113.20,115.50
227,?,?,?,?,?,?,?,?,?,?,115.50,?
228,2594.32,3239.52,49976.48,2574.59,3845.67,7689.61,50906.11,14120116.00,94116.00,1633.05,?,116.00
229,?,?,?,?,?,?,?,?,?,?,116.00,?
230,?,?,?,?,?,?,?,?,?,?,?,?
231,2583.71,3222.20,49772.46,2578.29,3829.94,7653.77,50713.14,3601115.80,58115.80,416.30,?,115.80
232,2548.00,3180.64,49162.16,2541.92,3777.01,7537.72,50077.30,20720113.00,99113.00,2360.39,115.80,113.00
233,2526.73,3168.92,49128.05,2539.12,3769.54,7482.74,50032.45,21886110.75,84110.75,2458.68,113.00,110.75
234,2566.11,3209.11,49846.48,2592.17,3828.29,7584.87,50780.47,22439110.90,106110.90,2486.27,110.75,110.90
235,2565.81,3231.44,49895.10,2582.43,3827.84,7636.58,50836.47,35725111.50,127111.50,3985.57,110.90,111.50
236,?,?,?,?,?,?,?,?,?,?,111.50,?
237,?,?,?,?,?,?,?,?,?,?,?,?
238,2561.87,3205.90,49818.48,2584.54,3821.96,7601.34,50756.86,15217111.20,102111.20,1695.76,?,111.20
239,2506.92,3147.92,48833.58,2530.18,3739.99,7451.60,49731.02,13625111.00,94111.00,1498.33,111.20,111.00
